date,f1,f2,f3,f4,f5,f6,f7,f8
1963-02-01,-0.168673933,-0.015351192,-0.01905755,0.00396369,-0.039945261,-0.045769228,0.117256443,-0.039122715
1963-03-01,-0.163563254,-0.134566887,-0.0397946,0.025014248,0.028660165,0.040874394,-0.018282411,-0.000487941
1963-04-01,-0.317327553,-0.057018438,-0.021839946,0.135325914,0.057496036,-0.061955571,-0.10980601,-0.188243072
1963-05-01,-0.100345992,0.043617062,0.102697893,0.058276085,0.049774399,-0.019680263,0.124578028,0.246404
1963-06-01,-0.090939821,-0.016940299,0.066026067,-0.017886215,0.149302206,0.035110958,0.006886129,0.031109415
1963-07-01,-0.062343753,-0.100533139,0.019442949,-0.001016031,0.117948387,-0.024551104,0.044385585,-0.185597849
1963-08-01,-0.141163304,-0.107305627,0.026010599,0.027380654,0.014424475,-0.16398726,-0.047918337,-0.150042405
1963-09-01,-0.180006333,-0.221898037,-0.051299115,0.099675895,0.038634663,-0.039986151,-0.015042399,0.155998038
1963-10-01,-0.327648411,0.005598853,0.184653322,0.066125446,0.063744245,0.043924129,0.061216445,-0.146290587
1963-11-01,0.101133296,-0.156437548,0.059096572,0.020658831,0.109599468,0.059988144,0.130919239,0.105130249
1963-12-01,-0.151474932,0.013261173,0.040666209,0.046896131,0.126142975,-0.075391868,-0.050560243,-0.072398524
1964-01-01,-0.266185255,-0.04305697,0.000782814,0.09116086,-0.06537709,-0.208689356,0.043410365,-0.150965106
1964-02-01,-0.262791237,-0.208648851,-0.050524668,0.159050807,0.083749722,0.015039364,-0.071449395,-0.155944252
1964-03-01,-0.05373691,-0.046216984,0.104154824,0.035562099,0.121953076,0.010658977,-0.042786541,-0.043664365
1964-04-01,-0.347383964,-0.044584958,-0.11533774,0.028399881,-0.016178111,0.016490285,0.022675532,0.220554631
1964-05-01,-0.269942133,-0.030255302,-0.046343341,0.072314263,-0.042001211,-0.042363921,0.02354306,-0.209528329
1964-06-01,-0.063828562,-0.016227576,0.102780817,0.007996848,0.062175436,0.084547185,0.064980388,0.093883907
1964-07-01,-0.365355598,-0.008843263,-0.082902013,0.121555013,0.003643212,-0.066999611,-0.095953823,-0.086041478
1964-08-01,-0.133347559,-0.172776713,0.016888715,0.032619416,0.070878109,0.193755804,-0.024315255,-0.047245816
1964-09-01,-0.220833973,-0.04685005,0.088652522,0.033625202,0.078604541,0.154925234,-0.114233313,-0.027918134
1964-10-01,0.421814368,-0.153571866,0.110073686,0.046477845,0.215719263,-0.181166651,-0.170221107,-0.459744055
1964-11-01,-0.792368484,0.042994432,-0.147508973,-0.015127259,-0.142347273,0.249504323,0.116977611,0.434011241
1964-12-01,-0.502663633,-0.056120483,-0.050684599,-0.063652519,-0.077646582,0.124590215,0.063839088,0.010146753
1965-01-01,-0.314191565,-0.048601909,-0.025294763,0.019839164,-0.041984485,0.067847441,-0.195549421,-0.103204476
1965-02-01,-0.185679772,-0.079897077,-0.031739052,-0.003048417,-0.128833354,-0.079422265,0.060709539,-0.084011181
1965-03-01,-0.372081536,-0.099068416,0.007104535,-0.004714535,0.006705421,0.262992813,-0.177084184,-0.05008891
1965-04-01,-0.216650208,-0.03780522,0.10651946,0.003993586,-0.062802317,0.059936279,-0.113868001,-0.277995068
1965-05-01,-0.316184835,-0.074628995,0.030906403,0.034063154,-0.049783807,0.118066406,-0.151419384,0.075693248
1965-06-01,-0.138157169,-0.102020777,0.107571166,-0.068980896,-0.052853618,0.300507151,0.176787609,-0.073061
1965-07-01,-0.379325043,-0.325383911,-0.194023511,0.044001091,-0.148651406,0.065180251,-0.177448952,-0.168397198
1965-08-01,-0.136802317,-0.043807529,0.077038534,0.027194391,-0.04793067,0.004064261,-0.073439334,-0.007712174
1965-09-01,-0.310346602,0.039799177,0.073800462,0.053640794,0.003876617,0.02591524,-0.126797067,0.070415125
1965-10-01,-0.426240148,-0.042684382,-0.006502313,0.018962762,-0.021863263,0.023483879,-0.139933077,-0.106757678
1965-11-01,-0.325383267,-0.080428924,0.004359607,0.011005682,-0.004191224,0.063653605,-0.158702177,-0.120660303
1965-12-01,-0.483286826,-0.061669253,0.104618262,-0.107165038,0.051214156,0.148300863,0.002289222,0.021622889
1966-01-01,-0.302814109,-0.192503,-0.115511287,-0.034098818,-0.022912518,0.013897638,-0.162469231,-0.055656822
1966-02-01,-0.324301821,0.098997508,0.186559207,-0.137061434,0.042092406,0.244991762,-0.165797678,0.009403394
1966-03-01,-0.459476252,-0.308866922,-0.153393492,-0.089858334,-0.125117318,0.230675477,0.008073789,-0.126228765
1966-04-01,-0.181297722,0.059494776,0.094912844,-0.005907595,0.019264053,0.131986019,-0.12389002,-0.025632136
1966-05-01,-0.05716589,-0.380484284,-0.048254853,-0.212494103,-0.177762455,0.3217202,-0.035426642,-0.189691694
1966-06-01,-0.321036593,-0.122346472,0.056868604,-0.094030462,-0.15138282,0.317252903,-0.251760956,-0.116617763
1966-07-01,-0.122203812,-0.030927925,0.1739072,-0.246338393,-0.120101574,0.164469459,-0.190998263,-0.056822747
1966-08-01,-0.093518589,0.001848188,0.126776764,-0.384970947,-0.190844411,0.228965681,0.10483859,-0.114034324
1966-09-01,-0.042030724,-0.110062392,-0.161481772,-0.316422685,-0.180395595,0.137063154,0.036169121,0.146789198
1966-10-01,-0.0844518,0.091289346,-0.1409699,-0.239348443,-0.353878083,0.164063889,-0.033074134,-0.11494401
1966-11-01,0.190461917,-0.026853469,-0.012889617,-0.084303543,-0.163852275,0.023711189,-0.434559017,-0.185840114
1966-12-01,0.180419691,0.02298348,-0.060627144,-0.025668789,-0.30052056,0.194125111,-0.016153535,-0.222704262
1967-01-01,0.033689403,0.080521457,-0.076879781,0.117556292,-0.230448544,0.0580708,-0.154125794,-0.003045117
1967-02-01,0.394827056,0.071399233,0.153957499,0.027860595,-0.043379952,0.013227787,-0.243278425,-0.046119778
1967-03-01,0.222745074,-0.012226981,-0.05657899,0.072707409,-0.125525658,0.037010971,-0.140826097,-0.265800443
1967-04-01,0.002181966,0.175501474,-0.043435741,-0.001288411,-0.127487789,-0.058746871,0.098028127,0.02328484
1967-05-01,0.177171793,-0.022776398,0.069332999,0.019633858,0.088472246,0.01085527,-0.131270873,-0.181513422
1967-06-01,-0.085433259,0.081599079,0.147623301,-0.132655254,0.057213287,-0.005863047,0.09879106,-0.130602743
1967-07-01,0.002650469,-0.114843157,-0.081739173,-0.146223513,0.278492168,-0.087232908,-0.109629992,-7.86E-05
1967-08-01,-0.466958707,0.115662359,-0.135200749,-0.02588247,0.060132568,-0.035457888,0.120575434,0.018643578
1967-09-01,0.025230732,-0.039818827,-0.069471039,0.014600052,0.200316995,-0.116747082,0.013205509,-0.186226312
